taxa,date,country,location,lon,lat,x,y,z
A/Dunedin/2/2000,2000.112,NewZealand,Dunedin,170.4910567,-45.8667783,-4375.35680066811,732.885715621152,-4572.61111343243
A/Canterbury/8/2000,2000.545,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/7/2000,2000.551,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Wellington/5/2000,2000.562,NewZealand,Wellington,174.7731458,-41.2768778,-4768.0909023696,436.183647054683,-4202.93873055298
A/Canterbury/51/2000,2000.562,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Wellington/6/2000,2000.564,NewZealand,Wellington,174.7731458,-41.2768778,-4768.0909023696,436.183647054683,-4202.93873055298
A/Canterbury/28/2000,2000.622,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/South-Canterbury/31/2000,2000.625,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/30/2000,2000.625,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/32/2000,2000.627,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/33/2000,2000.633,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/34/2000,2000.641,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/41/2000,2000.644,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Wellington/11/2000,2000.644,NewZealand,Wellington,174.7731458,-41.2768778,-4768.0909023696,436.183647054683,-4202.93873055298
A/South-Canterbury/35/2000,2000.649,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/43/2000,2000.666,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Wellington/16/2000,2000.677,NewZealand,Wellington,174.7731458,-41.2768778,-4768.0909023696,436.183647054683,-4202.93873055298
A/Canterbury/57/2000,2000.677,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Canterbury/55/2000,2000.677,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Auckland/580/2000,2000.682,NewZealand,Auckland,174.7624886,-36.8483048,-5076.9543203796,465.390636534727,-3820.67891665928
A/Wellington/18/2000,2000.685,NewZealand,Wellington,174.7731458,-41.2768778,-4768.0909023696,436.183647054683,-4202.93873055298
A/Auckland/584/2000,2000.701,NewZealand,Auckland,174.7624886,-36.8483048,-5076.9543203796,465.390636534727,-3820.67891665928
A/Auckland/585/2000,2000.707,NewZealand,Auckland,174.7624886,-36.8483048,-5076.9543203796,465.390636534727,-3820.67891665928
A/Canterbury/76/2000,2000.715,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Auckland/586/2000,2000.721,NewZealand,Auckland,174.7624886,-36.8483048,-5076.9543203796,465.390636534727,-3820.67891665928
A/Canterbury/87/2000,2000.74,NewZealand,Canterbury,171.1637245,-43.7542275,-4547.23779078706,706.897866763869,-4405.96923275715
A/Wellington/24/2000,2000.745,NewZealand,Wellington,174.7731458,-41.2768778,-4768.0909023696,436.183647054683,-4202.93873055298
A/Waikato/18/2000,2000.762,NewZealand,Waikato,175.023346,-37.6190862,-5027.35792030145,437.772749225239,-3888.91609079163
A/Auckland/597/2000,2000.83,NewZealand,Auckland,174.7624886,-36.8483048,-5076.9543203796,465.390636534727,-3820.67891665928
A/Auckland/595/2000,2000.841,NewZealand,Auckland,174.7624886,-36.8483048,-5076.9543203796,465.390636534727,-3820.67891665928
A/New-York/234/2000,2000.964,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/Oslo/7709/2000,2000.964,Norway,Oslo,10.7522454,59.9138688,3137.71752439712,595.841684538805,5512.652938836
A/Oslo/7649/2000,2000.964,Norway,Oslo,10.7522454,59.9138688,3137.71752439712,595.841684538805,5512.652938836
A/New-York/233/2000,2000.967,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/Oslo/7701/2000,2000.97,Norway,Oslo,10.7522454,59.9138688,3137.71752439712,595.841684538805,5512.652938836
A/New-York/310/2001,2001.019,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/239/2001,2001.019,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/205/2001,2001.019,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/442/2001,2001.025,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/343/2001,2001.025,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/312/2001,2001.03,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/303/2001,2001.038,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/Oslo/341/2001,2001.041,Norway,Oslo,10.7522454,59.9138688,3137.71752439712,595.841684538805,5512.652938836
A/New-York/246/2001,2001.049,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/341/2001,2001.058,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/443/2001,2001.058,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/New-York/309/2001,2001.058,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
A/Oslo/483/2001,2001.058,Norway,Oslo,10.7522454,59.9138688,3137.71752439712,595.841684538805,5512.652938836
A/Oslo/598/2001,2001.058,Norway,Oslo,10.7522454,59.9138688,3137.71752439712,595.841684538805,5512.652938836
A/New-York/235/2001,2001.06,USA,NewYork,-74.0059728,40.7127753,1330.60949935221,-4642.21315278307,4155.59579415052
