# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:01 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	posterior	prior	likelihood	mdsLikelihood
0	-2.2686959627494538E8	-1302.8261325940753	-2.2686829344881278E8	-2.2686829344881278E8
10000	-1.856022387537563E7	-1546.5953184236955	-1.8558677280057203E7	-1.8558677280057203E7
20000	-1.855980140689888E7	-1546.361823567027	-1.8558255045075312E7	-1.8558255045075312E7
30000	-1.855971830598744E7	-1545.6316554562331	-1.8558172674331985E7	-1.8558172674331985E7
40000	-1.855970492223754E7	-1546.2746527040854	-1.8558158647584837E7	-1.8558158647584837E7
50000	-1.8559697199285906E7	-1546.3706791281525	-1.8558150828606777E7	-1.8558150828606777E7
60000	-1.8559792935146455E7	-1546.8003120597048	-1.8558246134834394E7	-1.8558246134834394E7
70000	-1.8559728843798008E7	-1546.033398999511	-1.8558182810399007E7	-1.8558182810399007E7
80000	-1.8559722489536118E7	-1545.0376657256577	-1.8558177451870393E7	-1.8558177451870393E7
90000	-1.8559757373162348E7	-1544.0873175498177	-1.85582132858448E7	-1.85582132858448E7
100000	-1.8559829058402725E7	-1544.5755842182527	-1.8558284482818507E7	-1.8558284482818507E7
110000	-1.8559786011711646E7	-1545.1834434491102	-1.8558240828268196E7	-1.8558240828268196E7
120000	-1.8559755000697806E7	-1545.4457737702828	-1.8558209554924037E7	-1.8558209554924037E7
130000	-1.855970005129594E7	-1545.136001672709	-1.8558154915294267E7	-1.8558154915294267E7
140000	-1.855966184294809E7	-1544.4875998641205	-1.8558117355348226E7	-1.8558117355348226E7
150000	-1.8559851834714003E7	-1545.70855382752	-1.8558306126160175E7	-1.8558306126160175E7
160000	-1.855975250066651E7	-1545.4224667419178	-1.8558207078199767E7	-1.8558207078199767E7
170000	-1.8559765300504748E7	-1545.8192278613924	-1.8558219481276885E7	-1.8558219481276885E7
180000	-1.8559791564172197E7	-1545.327918966182	-1.855824623625323E7	-1.855824623625323E7
190000	-1.8559815084171977E7	-1546.4830549456906	-1.855826860111703E7	-1.855826860111703E7
200000	-1.8559808105228517E7	-1546.0814471896927	-1.8558262023781326E7	-1.8558262023781326E7
210000	-1.855966019787629E7	-1545.441490880161	-1.855811475638541E7	-1.855811475638541E7
220000	-1.855979375274598E7	-1541.531377836522	-1.855825222136814E7	-1.855825222136814E7
230000	-1.855953583101867E7	-1538.0678730065601	-1.8557997763145667E7	-1.8557997763145667E7
