# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:02 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	mds.residual.precision	sigmaXprec.h1	tauXprec.h1	tauTprec.h1	omega.h1	theta.h1	mu0.h1	sigmaXprec.h3	tauXprec.h3	tauTprec.h3	omega.h3	theta.h3	mu0.h3	sigmaXprec.yam	tauXprec.yam	tauTprec.yam	omega.yam	theta.yam	mu0.yam	sigmaXprec.vic	tauXprec.vic	tauTprec.vic	omega.vic	theta.vic	mu0.vic
0	10.0	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
10000	0.6843056310897795	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
20000	0.6845690336066858	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
30000	0.6849553435651122	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
40000	0.6845278771445439	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
50000	0.6843342146571451	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
60000	0.6844422583494874	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
70000	0.6843930357115701	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
80000	0.6840289700618158	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
90000	0.6844024389270443	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
100000	0.6843579174983021	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
110000	0.6849362759464148	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
120000	0.6845066592028773	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
130000	0.6844765305186891	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
140000	0.6847621063484284	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
150000	0.683813241015338	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
160000	0.6845995866026682	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
170000	0.6848118819303939	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
180000	0.6843266657581845	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
190000	0.6845707425711719	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
200000	0.6840208561387989	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
210000	0.684782965552735	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
220000	0.6841598410434555	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
230000	0.6843409113180139	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
240000	0.6843463321158243	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
250000	0.6844865740302941	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
260000	0.6840246649476992	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
270000	0.6842346885506455	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
280000	0.6844040990942618	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
290000	0.6845225860653121	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
300000	0.6850162146958325	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
310000	0.6839421354762407	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
320000	0.6845325228708522	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
330000	0.6842905376493406	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
340000	0.6847807537086353	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
350000	0.6842579852420091	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
360000	0.684284643163403	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
370000	0.6849533513373851	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
380000	0.6839002336283551	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
390000	0.6839116007041091	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
400000	0.6840297841798026	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
410000	0.6836937014054573	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
420000	0.6843023354417979	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
430000	0.6840199163909167	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
440000	0.684290254629055	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
450000	0.6847631646286071	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
